,,,Dynamic data,,,,,,,,,STATIC data,,,,,STATIC data,,
Auxilo,https://www.auxilo.com/education-loan,Private - NBFC,,,,,,,,,1.50%,Indian,18-35,HSC + UG,"Parent, Sibling, Legal guardian, or a relative.

Co-papplicant will be primary debtor.",Open to all,2-5,Yes,Hybrid
Avanse,https://www.avanse.com/ ,Private - NBFC,,,,,,,,,2%,Indian,18+,HSC + UG,"Parent, Sibling, Legal guardian, or a relative.

Co-papplicant will be primary debtor.",Open to all,2-5,Yes,Hybrid
Poonawalla Fincorp,,Private - NBFC,,,,,,,,,2%,Indian / OCI,16-50,-,"Parents, Parents-in-law, Siblings, Spouse, First Cousins, Parents' Siblings

Co-applicant age if:
Salaried, 21 – 60 years
Self-employed,: 21 to 65 years

Non-financial Co-applicant: 21 – 80 years",Open to all,2-5,Yes,Hybrid
Incred,,Private - NBFC,,,,,,,,,Not available,Indian,18+,-,"Parent, Sibling, Legal guardian, or a relative.",Open to all,2-5,Yes,100% Digital
Tata Capital,,Private - NBFC,,,,,,,,,3%,Indian,18-35,HSC / Equivalent,"Parents, Siblings, Spouse, Grandparents, Parents-in-law, Maternal/Paternal uncle",Open to all,2-5,Yes,Hybrid
Prodigy,,Private - Foreign company,,,,,,,,,Not available,Any student,-,-,No Criteria,Listed only,2-5,Yes,100% Digital
Mpower,,Private - Foreign company,,,,,,,,,Not available,Any student,-,HSC + UG,No Criteria,Listed only,2-5,Yes,100% Digital
Saraswat Co-operative Bank,,Public - Co-operative Bank,,,,,,,,,0.20%,Indian,-,-,"Parent, Sponsor, Relative

If Minor student: Parent is applicant

Undertaking: Minor will be added as guarantor on attaining majority or before parent’s retirement",Open to all,5-10,No,Branch only
Dhanlaxmi Bank,,Private bank,,,,,,,,,0.25%,Indian,18+,-,No Criteria,Open to all,10-15,No,Hybrid 
Aditya Birla capital,,Private - NBFC,,,,,,,,,3%,Indian,21-60,Salaried / Self-employed,"Parents, Siblings, or any other individual. ",Open to all,5-10,Yes,Hybrid
Leap Finance,,Private - Foreign company,,,,,,,,,Not available,Any student,18+,-,No Criteria,Listed only,2-5,Yes,100% Digital
Indian Overseas Bank,,Public bank,,,,,,,,,0.20%,Indian / NRI / PIO / OCI,-,HSC,No Criteria,Open to all,10-15,No,Branch only
RBL Bank,,Private bank,,,,,,,,,2%,Indian,-,-,"Parents, Siblings, Spouse",Open to all,15-20,Yes,Hybrid 
EdGro,,Private - NBFC,,,,,,,,,Rs. 25/day,Any student,18+,HSC,"Parents, Siblings, Spouse, Paternal or Maternal relative or a legal guardian. ",Open to all,5-10,Yes,100% Digital
Jammu and Kashmir Grameen Bank,,Public - Regional Rural Bank,,,,,,,,,0.20%,Resident of J&K State,18+,HSC + Entrance test,Parents,Open to all,15-20,No,Branch only
UCO Bank,,Public bank,,,,,,,,,2%,Indian,"28/30 - UG/PG - General
30/33 - UG/PG - SC ST",HSC / Equivalent + Entrance Test / Merit Based,Parents,Open to all,10-15,No,Branch only
Tamilnad Mercantile Bank,,Private bank,,,,,,,,,0.17%,Indian,-,-,Parents,Open to all,10-15,No,Hybrid 
City Union Bank,,Private bank,,,,,,,,,1%,Indian,-,-,"Parents, Spouse , Parents-in-law",Open to all,10-15,No,Hybrid 
Nainital Bank,,Private bank,,,,,,,,,2%,Indian,-,-,No criteria,Open to all,10-15,No,Hybrid 
South Indian Bank,,Private bank,,,,,,,,,1.50%,Indian,17-35,-,"Parent, Guardian, or Spouse

Note  - Co-borrower must have a minimum monthly income of Rs. 40,000/-",Open to all,5-10,No,Hybrid 
Jammu & Kashmir Bank,,Private bank,,,,,,,,,0.20%,"Indian / NRI

For abroad - OCI resident in India 
For India - OCI resident outside India",-,-,Parent or Guardian,Open to all,10-15,No,Hybrid 
