"Institute","WebsiteCountry","SuggestedCountry_Copilot","Status","InstituteKey","WebsiteCountryCount","SuggestedCountryCount"
"Alfred University","United States of America","United States of America","Match","alfred university","1","1"
"Aligarh Muslim University","United States of America","United States of America","Match","aligarh muslim university","1","1"
"All India Institute of Medical Sciences AIIMS","United States of America","United States of America","Match","all india institute of medical sciences aiims","1","1"
"Allama Iqbal Open University","United States of America","United States of America","Match","allama iqbal open university","1","1"
"Allen College","United States of America","United States of America","Match","allen college","1","1"
"Alma Mater Studiorum - University of Bologna","Italy","Italy","Match","alma mater studiorum university of bologna","1","1"
"Almaarefa University","United States of America","United States of America","Match","almaarefa university","1","1"
"Alpen Adria Universitat Klagenfurt","United States of America","United States of America","Match","alpen adria universitat klagenfurt","1","1"
"Al-Quds University","Palestine","Palestine","Match","al quds university","1","1"
"Altai State University","Russian Federation","Russian Federation","Match","altai state university","1","1"
"Alzahra University (Azzahra University)","United States of America","United States of America","Match","alzahra university azzahra university","1","1"
"American College of Greece (Deree College","United States of America","United States of America","Match","american college of greece deree college","1","1"
"American University","United States of America","United States of America","Match","american university","1","1"
"American University in Cairo","United States of America","United States of America","Match","american university in cairo","1","1"
"American University in Dubai","United Arab Emirates","United Arab Emirates","Match","american university in dubai","1","1"
"American University of Antigua (AUA) College of Medicine","Antigua And Barbuda","Antigua And Barbuda","Match","american university of antigua aua college of medicine","1","1"
"American University of Central Asia","Kyrgyzstan","Kyrgyzstan","Match","american university of central asia","1","1"
"American University of Ras Al Khaimah ( AURAK )","United Arab Emirates","United Arab Emirates","Match","american university of ras al khaimah aurak","1","1"
"American University of Sharjah","United States of America","United States of America","Match","american university of sharjah","1","1"
"American University of Sharjah (AUS)","United Arab Emirates","United Arab Emirates","Match","american university of sharjah aus","1","1"
"American University of the Middle East","Kuwait","Kuwait","Match","american university of the middle east","1","1"
"American University Washington DC","United States of America","United States of America","Match","american university washington dc","1","1"
"Amherst College","United States of America","United States of America","Match","amherst college","1","1"
"Amirkabir University of Technology","Iran","Iran","Match","amirkabir university of technology","1","1"
"Amity University","United States of America","United States of America","Match","amity university","1","1"
"Amman Arab University","United States of America","United States of America","Match","amman arab university","1","1"
"Amrita University","United States of America","United States of America","Match","amrita university","1","1"
"An Najah National University","United States of America","United States of America","Match","an najah national university","1","1"
"Andhra University Visakhapatnam","United States of America","United States of America","Match","andhra university visakhapatnam","1","1"
"Andrews University","United States of America","United States of America","Match","andrews university","1","1"
"Anhui Agricultural University","United States of America","United States of America","Match","anhui agricultural university","1","1"
"Anhui Medical University","United States of America","United States of America","Match","anhui medical university","1","1"
"Anhui Normal University","United States of America","United States of America","Match","anhui normal university","1","1"
"Anhui Polytechnic University (Anhui University of Technology & Science)","United States of America","United States of America","Match","anhui polytechnic university anhui university of technology and science","1","1"
"Anhui University","United States of America","United States of America","Match","anhui university","1","1"
"Anhui University of Finance & Economics","United States of America","United States of America","Match","anhui university of finance and economics","1","1"
"Anhui University of Science & Technology","United States of America","United States of America","Match","anhui university of science and technology","1","1"
"Anhui University of Technology","United States of America","United States of America","Match","anhui university of technology","1","1"
"Ankara Universitesi","Turkiye","Turkiye","Match","ankara universitesi","1","1"
"Ankara University","United States of America","United States of America","Match","ankara university","1","1"
"Anna University","United States of America","United States of America","Match","anna university","1","1"
"Annamalai University","United States of America","United States of America","Match","annamalai university","1","1"
"Aoyama Gakuin University","United States of America","United States of America","Match","aoyama gakuin university","1","1"
"Appalachian State University","United States of America","United States of America","Match","appalachian state university","1","1"
"Applied Science University - Bahrain","Bahrain","Bahrain","Match","applied science university bahrain","1","1"
"Arab Academy for Science & Technology and Maritime Transport","United States of America","United States of America","Match","arab academy for science and technology and maritime transport","1","1"
"Arak University of Medical Sciences","United States of America","United States of America","Match","arak university of medical sciences","1","1"
"Arcadia University","United States of America","United States of America","Match","arcadia university","1","1"
"Ardabil University of Medical Sciences","United States of America","United States of America","Match","ardabil university of medical sciences","1","1"
"Ariel University","United States of America","United States of America","Match","ariel university","1","1"
"Aristotle University of Thessaloniki","Greece","Greece","Match","aristotle university of thessaloniki","1","1"
"Arizona State University","United States of America","United States of America","Match","arizona state university","1","1"
"Arizona State University- Downtown Phoenix","United States of America","United States of America","Match","arizona state university downtown phoenix","1","1"
"Arizona State University- Polytechnic","United States of America","United States of America","Match","arizona state university polytechnic","1","1"
"Arizona State University- Skysong","United States of America","United States of America","Match","arizona state university skysong","1","1"
"Arizona State University- West","United States of America","United States of America","Match","arizona state university west","1","1"
"Arkansas State University","United States of America","United States of America","Match","arkansas state university","1","1"
"Arts et Metiers ParisTech","United States of America","United States of America","Match","arts et metiers paristech","1","1"
"ARU Anglia Ruskin University","United States of America","United States of America","Match","aru anglia ruskin university","1","1"
"Asia Pacific University of Technology and Innovation (APU) Malaysia","Malaysia","Malaysia","Match","asia pacific university of technology and innovation apu malaysia","1","1"
"Asia University Taiwan","Taiwan","Taiwan","Match","asia university taiwan","1","1"
"Asian Institute of Technology Thailand","United States of America","United States of America","Match","asian institute of technology thailand","1","1"
"Assam University","United States of America","United States of America","Match","assam university","1","1"
"Assiut University","United States of America","United States of America","Match","assiut university","1","1"
"Assumption University of Thailand","United States of America","United States of America","Match","assumption university of thailand","1","1"
"Aston University","United Kingdom","United Kingdom","Match","aston university","1","1"
"Ataturk University","United States of America","United States of America","Match","ataturk university","1","1"
"Ateneo de Manila University","Philippines","Philippines","Match","ateneo de manila university","1","1"
"Athabasca University","United States of America","United States of America","Match","athabasca university","1","1"
"Atilim University","United States of America","United States of America","Match","atilim university","1","1"
"Atlantic Technological University","United States of America","United States of America","Match","atlantic technological university","1","1"
"Auburn University","United States of America","United States of America","Match","auburn university","1","1"
"Auburn University Montgomery","United States of America","United States of America","Match","auburn university montgomery","1","1"
"Auckland University of Technology","New Zealand","New Zealand","Match","auckland university of technology","1","1"
"Audencia Business School","France","France","Match","audencia business school","1","1"
"Auezov South Kazakhstan State University (SKSU)","Kazakhstan","Kazakhstan","Match","auezov south kazakhstan state university sksu","1","1"
"Augusta University (Georgia Regents University Augusta State University)","United States of America","United States of America","Match","augusta university georgia regents university augusta state university","1","1"
"Australian Catholic University","Australia","Australia","Match","australian catholic university","1","1"
"Australian National University","Australia","Australia","Match","australian national university","1","1"
"Autonomous University of Barcelona (Universitat Autonoma de Barcelona)","Spain","Spain","Match","autonomous university of barcelona universitat autonoma de barcelona","1","1"
"Azerbaijan State Oil and Industry University","Azerbaijan","Azerbaijan","Match","azerbaijan state oil and industry university","1","1"
"Azerbaijan State University of Economics","Azerbaijan","Azerbaijan","Match","azerbaijan state university of economics","1","1"
"Azerbaijan Technical University","Azerbaijan","Azerbaijan","Match","azerbaijan technical university","1","1"
"Azusa Pacific University","United States of America","United States of America","Match","azusa pacific university","1","1"
"Babes-Bolyai University","Romania","Romania","Match","babes bolyai university","1","1"
"Babol Noshirvani University of Technology Noshirvani Institute of Technology Babol","United States of America","United States of America","Match","babol noshirvani university of technology noshirvani institute of technology babol","1","1"
"Babson College","United States of America","United States of America","Match","babson college","1","1"
"Bahauddin Zakariya University","United States of America","United States of America","Match","bahauddin zakariya university","1","1"
"Bahcesehir Universitesi BAU","United States of America","United States of America","Match","bahcesehir universitesi bau","1","1"
"Bahir Dar University","United States of America","United States of America","Match","bahir dar university","1","1"
"Bahria University","United States of America","United States of America","Match","bahria university","1","1"
"Baku Engineering University","Azerbaijan","Azerbaijan","Match","baku engineering university","1","1"
"Baku State University","Azerbaijan","Azerbaijan","Match","baku state university","1","1"
"Balikesir University","United States of America","United States of America","Match","balikesir university","1","1"
"Ball State University","United States of America","United States of America","Match","ball state university","1","1"
"Banaras Hindu University","United States of America","United States of America","Match","banaras hindu university","1","1"
"Bandung Institute of Technology (ITB)","Indonesia","Indonesia","Match","bandung institute of technology itb","1","1"
"Bangladesh Agricultural University","United States of America","United States of America","Match","bangladesh agricultural university","1","1"
"Bangladesh University of Engineering and Technology","Bangladesh","Bangladesh","Match","bangladesh university of engineering and technology","1","1"
"Bangor University","United Kingdom","United Kingdom","Match","bangor university","1","1"
"Baqiyatallah Medical Sciences University","United States of America","United States of America","Match","baqiyatallah medical sciences university","1","1"
"Bard College","United States of America","United States of America","Match","bard college","1","1"
"Barnard College","United States of America","United States of America","Match","barnard college","1","1"
"Barnard College Columbia University","United States of America","United States of America","Match","barnard college columbia university","1","1"
"Barry University","United States of America","United States of America","Match","barry university","1","1"
"Bartin University","United States of America","United States of America","Match","bartin university","1","1"
"Baruch College of the City University of New York","United States of America","United States of America","Match","baruch college of the city university of new york","1","1"
"Baskent University","United States of America","United States of America","Match","baskent university","1","1"
"Bates College","United States of America","United States of America","Match","bates college","1","1"
"Bath Spa University","United States of America","United States of America","Match","bath spa university","1","1"
"Batman University","United States of America","United States of America","Match","batman university","1","1"
"Bauhaus Universitat Weimar","United States of America","United States of America","Match","bauhaus universitat weimar","1","1"
"Bauman Moscow State Technical University","Russian Federation","Russian Federation","Match","bauman moscow state technical university","1","1"
"Bayero University Kano","United States of America","United States of America","Match","bayero university kano","1","1"
"Baylor College of Medicine","United States of America","United States of America","Match","baylor college of medicine","1","1"
"Baylor University","United States of America","United States of America","Match","baylor university","1","1"
"Beihang University","China","China","Match","beihang university","1","1"
"Beijing Foreign Studies University","China","China","Match","beijing foreign studies university","1","1"
"Beijing Forestry University","China","China","Match","beijing forestry university","1","1"
"Beijing Information Science & Technology University","China","China","Match","beijing information science and technology university","1","1"
"Beijing Institute of Technology","China","China","Match","beijing institute of technology","1","1"
"Beijing Jiaotong University","China","China","Match","beijing jiaotong university","1","1"
"Beijing Language and Culture University","China","China","Match","beijing language and culture university","1","1"
"Beijing Normal University","China","China","Match","beijing normal university","1","1"
"Beijing Sport University","China","China","Match","beijing sport university","1","1"
"Beijing Technology & Business University","China","China","Match","beijing technology and business university","1","1"
"Beijing University of Chemical Technology","China","China","Match","beijing university of chemical technology","1","1"
"Beijing University of Chinese Medicine","China","China","Match","beijing university of chinese medicine","1","1"
"Beijing University of Civil Engineering & Architecture","China","China","Match","beijing university of civil engineering and architecture","1","1"
"Beijing University of Posts and Telecommunications","China","China","Match","beijing university of posts and telecommunications","1","1"
"Beijing University of Technology","China","China","Match","beijing university of technology","1","1"
"Beirut Arab University","Lebanon","Lebanon","Match","beirut arab university","1","1"
"Belarusian National Technical University","Belarus","Belarus","Match","belarusian national technical university","1","1"
"Belarusian State University","Belarus","Belarus","Match","belarusian state university","1","1"
"Bellin College","United States of America","United States of America","Match","bellin college","1","1"
"Belmont University","United States of America","United States of America","Match","belmont university","1","1"
"Benemerita Universidad Autonoma de Puebla","United States of America","United States of America","Match","benemerita universidad autonoma de puebla","1","1"
"Benha University","United States of America","United States of America","Match","benha university","1","1"
"Beni Suef University","United States of America","United States of America","Match","beni suef university","1","1"
"Bentley University","United States of America","United States of America","Match","bentley university","1","1"
"Bergische Universitat Wuppertal","United States of America","United States of America","Match","bergische universitat wuppertal","1","1"
"Berry College","United States of America","United States of America","Match","berry college","1","1"
"Beykent University","United States of America","United States of America","Match","beykent university","1","1"
"BFH Berner Fachhochschule","United States of America","United States of America","Match","bfh berner fachhochschule","1","1"
"Bharathiar University Coimbatore","United States of America","United States of America","Match","bharathiar university coimbatore","1","1"
"Bharathidasan University","United States of America","United States of America","Match","bharathidasan university","1","1"
"BI Norwegian Business School","United States of America","United States of America","Match","bi norwegian business school","1","1"
"Bialystok University of Technology","United States of America","United States of America","Match","bialystok university of technology","1","1"
"Bilkent University","Turkiye","Turkiye","Match","bilkent university","1","1"
"Binghamton University - SUNY","United States of America","United States of America","Match","binghamton university suny","1","1"
"Bingol University","United States of America","United States of America","Match","bingol university","1","1"
"BINUS UNIVERSITY (Bina Nusantara University)","Indonesia","Indonesia","Match","binus university bina nusantara university","1","1"
"Binzhou Medical College","United States of America","United States of America","Match","binzhou medical college","1","1"
"Biola University","United States of America","United States of America","Match","biola university","1","1"
"Birjand University of Medical Sciences","United States of America","United States of America","Match","birjand university of medical sciences","1","1"
"Birkbeck University of London","United Kingdom","United Kingdom","Match","birkbeck university of london","1","1"
"Birla Institute of Technology & Science Pilani","United States of America","United States of America","Match","birla institute of technology and science pilani","1","1"
"Birla Institute of Technology Mesra Ranchi","United States of America","United States of America","Match","birla institute of technology mesra ranchi","1","1"
"Birmingham City University (University of Central England)","United Kingdom","United Kingdom","Match","birmingham city university university of central england","1","1"
"Birzeit University","United States of America","United States of America","Match","birzeit university","1","1"
"Bishops University","United States of America","United States of America","Match","bishops university","1","1"
"Blekinge Institute of Technology","United States of America","United States of America","Match","blekinge institute of technology","1","1"
"Bocconi University","Italy","Italy","Match","bocconi university","1","1"
"Bogazici University","Turkiye","Turkiye","Match","bogazici university","1","1"
"Boise State University","United States of America","United States of America","Match","boise state university","1","1"
"Bon Secours Memorial College of Nursing","United States of America","United States of America","Match","bon secours memorial college of nursing","1","1"
"Bond University","Australia","Australia","Match","bond university","1","1"
"Bordeaux INP","United States of America","United States of America","Match","bordeaux inp","1","1"
"Boston College","United States of America","United States of America","Match","boston college","1","1"
"Boston University","United States of America","United States of America","Match","boston university","1","1"
"Bournemouth University","United Kingdom","United Kingdom","Match","bournemouth university","1","1"
"Bowdoin College","United States of America","United States of America","Match","bowdoin college","1","1"
"Bowling Green State University","United States of America","United States of America","Match","bowling green state university","1","1"
"Bozok University","United States of America","United States of America","Match","bozok university","1","1"
"Brac University","United States of America","United States of America","Match","brac university","1","1"
"Bradley University","United States of America","United States of America","Match","bradley university","1","1"
"Brandeis University","United States of America","United States of America","Match","brandeis university","1","1"
"Brandenburgische Technische Universitat Cottbus","United States of America","United States of America","Match","brandenburgische technische universitat cottbus","1","1"
"Brandon University","United States of America","United States of America","Match","brandon university","1","1"
"Bridgewater State University","United States of America","United States of America","Match","bridgewater state university","1","1"
"Brigham Young University","United States of America","United States of America","Match","brigham young university","1","1"
"Brigham Young University – Provo","United States of America","United States of America","Match","brigham young university provo","1","1"
"British University in Egypt","United States of America","United States of America","Match","british university in egypt","1","1"
"Brno University of Technology","Czechia","Czechia","Match","brno university of technology","1","1"
"Brock University","Canada","Canada","Match","brock university","1","1"
"Brown University","United States of America","United States of America","Match","brown university","1","1"
"Brunel University","United States of America","United States of America","Match","brunel university","1","1"
"Brunel University London","United Kingdom","United Kingdom","Match","brunel university london","1","1"
"Brunel University of London","United Kingdom","United Kingdom","Match","brunel university of london","1","1"
"Bryan College of Health Sciences","United States of America","United States of America","Match","bryan college of health sciences","1","1"
"Bryant University","United States of America","United States of America","Match","bryant university","1","1"
"Bryn Mawr College","United States of America","United States of America","Match","bryn mawr college","1","1"
"Bu Ali Sina University Hamedan","United States of America","United States of America","Match","bu ali sina university hamedan","1","1"
"Bucharest Academy of Economic Studies","United States of America","United States of America","Match","bucharest academy of economic studies","1","1"
"Bucknell University","United States of America","United States of America","Match","bucknell university","1","1"
"Budapest University of Technology and Economics","Hungary","Hungary","Match","budapest university of technology and economics","1","1"
"Buffalo State SUNY","United States of America","United States of America","Match","buffalo state suny","1","1"
"Burapha University","United States of America","United States of America","Match","burapha university","1","1"
"Bursa Teknik Universitesi","United States of America","United States of America","Match","bursa teknik universitesi","1","1"
"Butler University","United States of America","United States of America","Match","butler university","1","1"
"Ca Foscari University of Venice","Italy","Italy","Match","ca foscari university of venice","1","1"
"Cairo University","Egypt","Egypt","Match","cairo university","1","1"
"California Baptist University","United States of America","United States of America","Match","california baptist university","1","1"
"California Institute of Technology","United States of America","United States of America","Match","california institute of technology","1","1"
"California Lutheran University","United States of America","United States of America","Match","california lutheran university","1","1"
"California Polytechnic State University Cal Poly","United States of America","United States of America","Match","california polytechnic state university cal poly","1","1"
"California Polytechnic State University Cal Poly Pomona","United States of America","United States of America","Match","california polytechnic state university cal poly pomona","1","1"
"California Polytechnic State University-San Luis Obispo","United States of America","United States of America","Match","california polytechnic state university san luis obispo","1","1"
"California State Polytechnic University-Pomona","United States of America","United States of America","Match","california state polytechnic university pomona","1","1"
"California State University - Long Beach","United States of America","United States of America","Match","california state university long beach","1","1"
"California State University Bakersfield","United States of America","United States of America","Match","california state university bakersfield","1","1"
"California State University Channel Islands","United States of America","United States of America","Match","california state university channel islands","1","1"
"California State University Chico","United States of America","United States of America","Match","california state university chico","1","1"
"California State University Dominguez Hills","United States of America","United States of America","Match","california state university dominguez hills","1","1"
"California State University East Bay","United States of America","United States of America","Match","california state university east bay","1","1"
"California State University Fresno","United States of America","United States of America","Match","california state university fresno","1","1"
"California State University Fullerton","United States of America","United States of America","Match","california state university fullerton","1","1"
"California State University Los Angeles","United States of America","United States of America","Match","california state university los angeles","1","1"
"California State University Maritime Academy","United States of America","United States of America","Match","california state university maritime academy","1","1"
"California State University Monterey Bay","United States of America","United States of America","Match","california state university monterey bay","1","1"
"California State University Northridge","United States of America","United States of America","Match","california state university northridge","1","1"
"California State University Sacramento","United States of America","United States of America","Match","california state university sacramento","1","1"
"California State University San Bernardino","United States of America","United States of America","Match","california state university san bernardino","1","1"
"California State University San Marcos","United States of America","United States of America","Match","california state university san marcos","1","1"
"California State University Stanislaus","United States of America","United States of America","Match","california state university stanislaus","1","1"
"Calvin College","United States of America","United States of America","Match","calvin college","1","1"
"Campbell University","United States of America","United States of America","Match","campbell university","1","1"
"Can Tho University","United States of America","United States of America","Match","can tho university","1","1"
"Canadian University of Dubai","United Arab Emirates","United Arab Emirates","Match","canadian university of dubai","1","1"
"Canakkale Onsekyz Mart University","United States of America","United States of America","Match","canakkale onsekyz mart university","1","1"
"Cankaya University","United States of America","United States of America","Match","cankaya university","1","1"
"Canterbury Christ Church University","United States of America","United States of America","Match","canterbury christ church university","1","1"
"Cape Breton University","United States of America","United States of America","Match","cape breton university","1","1"
"Cape Peninsula University of Technology","United States of America","United States of America","Match","cape peninsula university of technology","1","1"
"Capital Medical University","United States of America","United States of America","Match","capital medical university","1","1"
"Capital Normal University","United States of America","United States of America","Match","capital normal university","1","1"
"Capital University of Economics & Business","United States of America","United States of America","Match","capital university of economics and business","1","1"
"Cardiff Metropolitan University (University of Wales Institute Cardiff)","United States of America","United States of America","Match","cardiff metropolitan university university of wales institute cardiff","1","1"
"Cardiff University","United Kingdom","United Kingdom","Match","cardiff university","1","1"
"Carl Von Ossietzky Universitat Oldenburg","United States of America","United States of America","Match","carl von ossietzky universitat oldenburg","1","1"
"Carl von Ossietzky University of Oldenburg","Germany","Germany","Match","carl von ossietzky university of oldenburg","1","1"
"Carleton College","United States of America","United States of America","Match","carleton college","1","1"
"Carleton University","Canada","Canada","Match","carleton university","1","1"
"Carnegie Mellon University","United States of America","United States of America","Match","carnegie mellon university","1","1"
"Carol Davila University of Medicine and Pharmacy","United States of America","United States of America","Match","carol davila university of medicine and pharmacy","1","1"
"Case Western Reserve University","United States of America","United States of America","Match","case western reserve university","1","1"
"Catania University","Italy","Italy","Match","catania university","1","1"
"Catholic University of America","United States of America","United States of America","Match","catholic university of america","1","1"
"Catholic University of Daegu","United States of America","United States of America","Match","catholic university of daegu","1","1"
"Catholic University of Korea","South Korea","South Korea","Match","catholic university of korea","1","1"
"Catholic University of Leuven","Belgium","Belgium","Match","catholic university of leuven","1","1"
"Catholic University of Lublin","United States of America","United States of America","Match","catholic university of lublin","1","1"
"Centra College of Nursing","United States of America","United States of America","Match","centra college of nursing","1","1"
"Central China Normal University","United States of America","United States of America","Match","central china normal university","1","1"
"Central Connecticut State University","United States of America","United States of America","Match","central connecticut state university","1","1"
"Central European University Budapest","United States of America","United States of America","Match","central european university budapest","1","1"
"Central Michigan University","United States of America","United States of America","Match","central michigan university","1","1"
"Central Queensland University Australia (CQUniversity)","Australia","Australia","Match","central queensland university australia cquniversity","1","1"
"Central Queensland University CQUniversity","Australia","Australia","Match","central queensland university cquniversity","1","1"
"Central South University","China","China","Match","central south university","1","1"
"Central South University (Zhongnan University)","United States of America","United States of America","Match","central south university zhongnan university","1","1"
"Central South University of Forestry & Technology","United States of America","United States of America","Match","central south university of forestry and technology","1","1"
"Central University of Finance & Economics","United States of America","United States of America","Match","central university of finance and economics","1","1"
"Central University of Punjab Bathinda","United States of America","United States of America","Match","central university of punjab bathinda","1","1"
"Central University of Rajasthan","United States of America","United States of America","Match","central university of rajasthan","1","1"
"Central Washington University","United States of America","United States of America","Match","central washington university","1","1"
"Centrale Lille","United States of America","United States of America","Match","centrale lille","1","1"
"CentraleSupelec","France","France","Match","centralesupelec","1","1"
"CentraleSupelec (comUE University Paris Saclay)","United States of America","United States of America","Match","centralesupelec comue university paris saclay","1","1"
"Centre College","United States of America","United States of America","Match","centre college","1","1"
"Centro de Investigacion y de Estudios Avanzados del IPN CINVESTAV","United States of America","United States of America","Match","centro de investigacion y de estudios avanzados del ipn cinvestav","1","1"
"Centro de Investigacion y Docencia Economicas","United States of America","United States of America","Match","centro de investigacion y docencia economicas","1","1"
"Centro Federal de Educacao Tecnologica Celso Suckow do Fonseca CEFET/RJ","United States of America","United States of America","Match","centro federal de educacao tecnologica celso suckow do fonseca cefet rj","1","1"
"Centurion University of Technology and Management","United States of America","United States of America","Match","centurion university of technology and management","1","1"
"Ch Charan Singh University","United States of America","United States of America","Match","ch charan singh university","1","1"
"Chalmers University of Technology","Sweden","Sweden","Match","chalmers university of technology","1","1"
"Chandigarh University","United States of America","United States of America","Match","chandigarh university","1","1"
"Chang Gung University","Taiwan","Taiwan","Match","chang gung university","1","1"
"Changan University","United States of America","United States of America","Match","changan university","1","1"
"Changchun University of Science & Technology","United States of America","United States of America","Match","changchun university of science and technology","1","1"
"Changchun University of Technology","United States of America","United States of America","Match","changchun university of technology","1","1"
"Changsha University of Science & Technology","United States of America","United States of America","Match","changsha university of science and technology","1","1"
"Changwon National University","United States of America","United States of America","Match","changwon national university","1","1"
"Changzhou University","United States of America","United States of America","Match","changzhou university","1","1"
"Chaoyang University of Technology","United States of America","United States of America","Match","chaoyang university of technology","1","1"
"Chapman University","United States of America","United States of America","Match","chapman university","1","1"
"Charite - Universitatsmedizin Berlin (Charite – Berlin University of Medicine)","Germany","Germany","Match","charite universitatsmedizin berlin charite berlin university of medicine","1","1"
"Charite Universitatsmedizin Berlin","United States of America","United States of America","Match","charite universitatsmedizin berlin","1","1"
"Charles Darwin University","Australia","Australia","Match","charles darwin university","1","1"
"Charles Sturt University","Australia","Australia","Match","charles sturt university","1","1"
"Charles University","Czechia","Czechia","Match","charles university","1","1"
"Charles University in Prague","United States of America","United States of America","Match","charles university in prague","1","1"
"Chatham University","United States of America","United States of America","Match","chatham university","1","1"
"Chengdu University","United States of America","United States of America","Match","chengdu university","1","1"
"Chengdu University of Information Technology","United States of America","United States of America","Match","chengdu university of information technology","1","1"
"Chengdu University of Technology","United States of America","United States of America","Match","chengdu university of technology","1","1"
"Chengdu University of Traditional Chinese Medicine","United States of America","United States of America","Match","chengdu university of traditional chinese medicine","1","1"
"Chiang Mai University","Thailand","Thailand","Match","chiang mai university","1","1"
"Chiba University","Japan","Japan","Match","chiba university","1","1"
"Chicago State University","United States of America","United States of America","Match","chicago state university","1","1"
"China Agricultural University","China","China","Match","china agricultural university","1","1"
"China Europe International Business School","China","China","Match","china europe international business school","1","1"
"China Jiliang University","United States of America","United States of America","Match","china jiliang university","1","1"
"China Medical University","Taiwan","Taiwan","Match","china medical university","1","1"
"China Medical University Taiwan","United States of America","United States of America","Match","china medical university taiwan","1","1"
